timestamp,container,cpu_percent,mem_usage,mem_limit,net_io
2026-06-10 16:27:38,docker-web-1,0.53%,126.1MiB / 11.67GiB,994kB / 126B
2026-06-10 16:27:38,docker-db_postgres-1,1.88%,15.95MiB / 11.67GiB,41.7MB / 465MB
2026-06-10 16:27:38,docker-sandbox-1,0.00%,61.43MiB / 11.67GiB,482kB / 1.45kB
2026-06-10 16:27:38,docker-weaviate-1,1.72%,127.3MiB / 11.67GiB,1MB / 2.41kB
2026-06-10 16:27:38,docker-ssrf_proxy-1,0.04%,13.08MiB / 11.67GiB,1.48MB / 1.89kB
2026-06-10 16:28:10,docker-ragflow-cpu-1,3.34%,5.842GiB / 11.67GiB,3.14GB / 834MB
2026-06-10 16:28:10,docker-redis-1,0.16%,6.602MiB / 11.67GiB,24.9MB / 6.54MB
2026-06-10 16:28:10,docker-mysql-1,0.45%,111.5MiB / 11.67GiB,399MB / 1.07GB
2026-06-10 16:28:10,docker-minio-1,0.13%,1.249GiB / 11.67GiB,702MB / 1.44GB
2026-06-10 16:28:10,docker-es01-1,0.49%,1.025GiB / 8GiB,104MB / 1.57GB
2026-06-10 16:28:10,docker-nginx-1,0.00%,9.488MiB / 11.67GiB,995kB / 126B
2026-06-10 16:28:10,docker-plugin_daemon-1,0.00%,0B / 0B,0B / 0B
2026-06-10 16:28:10,docker-api-1,0.00%,0B / 0B,0B / 0B
2026-06-10 16:28:10,docker-worker_beat-1,0.00%,0B / 0B,0B / 0B
2026-06-10 16:28:10,docker-web-1,0.76%,126.1MiB / 11.67GiB,995kB / 126B
2026-06-10 16:28:10,docker-db_postgres-1,1.69%,16.07MiB / 11.67GiB,41.8MB / 466MB
2026-06-10 16:28:10,docker-sandbox-1,0.00%,61.38MiB / 11.67GiB,482kB / 1.45kB
2026-06-10 16:28:10,docker-weaviate-1,2.65%,127.3MiB / 11.67GiB,1MB / 2.41kB
2026-06-10 16:28:10,docker-ssrf_proxy-1,0.01%,13.08MiB / 11.67GiB,1.48MB / 1.89kB
2026-06-10 16:28:42,docker-ragflow-cpu-1,8.02%,5.842GiB / 11.67GiB,3.28GB / 836MB
2026-06-10 16:28:42,docker-redis-1,1.19%,6.602MiB / 11.67GiB,24.9MB / 6.56MB
2026-06-10 16:28:42,docker-mysql-1,0.58%,111.6MiB / 11.67GiB,400MB / 1.08GB
2026-06-10 16:28:42,docker-minio-1,0.94%,1.249GiB / 11.67GiB,702MB / 1.44GB
2026-06-10 16:28:42,docker-es01-1,0.34%,1.025GiB / 8GiB,105MB / 1.7GB
2026-06-10 16:28:42,docker-nginx-1,0.00%,9.488MiB / 11.67GiB,996kB / 126B
2026-06-10 16:28:42,docker-plugin_daemon-1,0.00%,0B / 0B,0B / 0B
2026-06-10 16:28:42,docker-api-1,0.00%,0B / 0B,0B / 0B
2026-06-10 16:28:42,docker-worker-1,0.00%,0B / 0B,0B / 0B
2026-06-10 16:28:42,docker-worker_beat-1,0.00%,0B / 0B,0B / 0B
2026-06-10 16:28:42,docker-web-1,0.44%,126.1MiB / 11.67GiB,996kB / 126B
2026-06-10 16:28:42,docker-db_postgres-1,1.34%,15.95MiB / 11.67GiB,41.9MB / 466MB
2026-06-10 16:28:42,docker-sandbox-1,0.00%,61.39MiB / 11.67GiB,483kB / 1.45kB
2026-06-10 16:28:42,docker-weaviate-1,2.13%,127.3MiB / 11.67GiB,1MB / 2.41kB
2026-06-10 16:28:42,docker-ssrf_proxy-1,0.03%,13.33MiB / 11.67GiB,1.48MB / 1.89kB
2026-06-10 16:29:14,docker-ragflow-cpu-1,10.32%,5.874GiB / 11.67GiB,3.39GB / 839MB
2026-06-10 16:29:14,docker-redis-1,0.22%,6.602MiB / 11.67GiB,25MB / 6.59MB
2026-06-10 16:29:14,docker-mysql-1,1.41%,111.7MiB / 11.67GiB,401MB / 1.08GB
2026-06-10 16:29:14,docker-minio-1,0.14%,1.249GiB / 11.67GiB,702MB / 1.44GB
2026-06-10 16:29:14,docker-es01-1,0.37%,1.025GiB / 8GiB,106MB / 1.81GB
2026-06-10 16:29:14,docker-nginx-1,0.00%,9.488MiB / 11.67GiB,996kB / 126B
2026-06-10 16:29:14,docker-plugin_daemon-1,0.00%,0B / 0B,0B / 0B
2026-06-10 16:29:14,docker-api-1,0.00%,0B / 0B,0B / 0B
2026-06-10 16:29:14,docker-worker-1,0.00%,0B / 0B,0B / 0B
2026-06-10 16:29:14,docker-worker_beat-1,0.00%,0B / 0B,0B / 0B
2026-06-10 16:29:14,docker-web-1,0.96%,126.5MiB / 11.67GiB,996kB / 126B
2026-06-10 16:29:14,docker-db_postgres-1,1.38%,15.99MiB / 11.67GiB,41.9MB / 466MB
2026-06-10 16:29:14,docker-sandbox-1,0.00%,61.39MiB / 11.67GiB,483kB / 1.45kB
2026-06-10 16:29:14,docker-weaviate-1,1.95%,127.3MiB / 11.67GiB,1MB / 2.41kB
2026-06-10 16:29:14,docker-ssrf_proxy-1,0.07%,13.08MiB / 11.67GiB,1.48MB / 1.89kB
2026-06-10 16:29:45,docker-ragflow-cpu-1,7.08%,5.933GiB / 11.67GiB,3.51GB / 841MB
2026-06-10 16:29:45,docker-redis-1,0.19%,6.598MiB / 11.67GiB,25MB / 6.62MB
2026-06-10 16:29:45,docker-mysql-1,0.49%,111.8MiB / 11.67GiB,402MB / 1.09GB
2026-06-10 16:29:45,docker-minio-1,7.05%,1.25GiB / 11.67GiB,702MB / 1.44GB
2026-06-10 16:29:45,docker-es01-1,0.35%,1.025GiB / 8GiB,107MB / 1.92GB
2026-06-10 16:29:45,docker-nginx-1,0.00%,9.488MiB / 11.67GiB,997kB / 126B
2026-06-10 16:29:45,docker-api-1,0.04%,267.5MiB / 11.67GiB,2.22kB / 596B
2026-06-10 16:29:45,docker-worker-1,0.00%,0B / 0B,0B / 0B
2026-06-10 16:29:45,docker-worker_beat-1,0.00%,0B / 0B,0B / 0B
2026-06-10 16:29:45,docker-web-1,0.57%,126.2MiB / 11.67GiB,997kB / 126B
2026-06-10 16:29:45,docker-db_postgres-1,1.11%,15.96MiB / 11.67GiB,41.9MB / 467MB
2026-06-10 16:29:45,docker-sandbox-1,0.00%,61.5MiB / 11.67GiB,483kB / 1.45kB
2026-06-10 16:29:45,docker-weaviate-1,1.79%,127.3MiB / 11.67GiB,1MB / 2.41kB
2026-06-10 16:29:45,docker-ssrf_proxy-1,0.02%,13.08MiB / 11.67GiB,1.48MB / 1.89kB
2026-06-10 16:30:20,docker-ragflow-cpu-1,538.56%,5.933GiB / 11.67GiB,3.57GB / 843MB
2026-06-10 16:30:20,docker-redis-1,0.11%,6.598MiB / 11.67GiB,25MB / 6.64MB
2026-06-10 16:30:20,docker-mysql-1,0.43%,111.9MiB / 11.67GiB,403MB / 1.09GB
2026-06-10 16:30:20,docker-minio-1,0.10%,1.249GiB / 11.67GiB,702MB / 1.44GB
2026-06-10 16:30:20,docker-es01-1,6.86%,1.025GiB / 8GiB,107MB / 1.98GB
2026-06-10 16:30:20,docker-nginx-1,0.00%,9.488MiB / 11.67GiB,998kB / 126B
2026-06-10 16:30:20,docker-plugin_daemon-1,0.00%,0B / 0B,0B / 0B
2026-06-10 16:30:20,docker-api-1,24.56%,267.5MiB / 11.67GiB,1.83kB / 424B
2026-06-10 16:30:20,docker-worker-1,0.00%,0B / 0B,0B / 0B
2026-06-10 16:30:20,docker-worker_beat-1,0.00%,0B / 0B,0B / 0B
2026-06-10 16:30:20,docker-web-1,0.46%,126.3MiB / 11.67GiB,998kB / 126B
2026-06-10 16:30:20,docker-db_postgres-1,1.67%,15.96MiB / 11.67GiB,41.9MB / 467MB
2026-06-10 16:30:20,docker-sandbox-1,0.00%,61.34MiB / 11.67GiB,484kB / 1.45kB
2026-06-10 16:30:20,docker-weaviate-1,1.87%,127.3MiB / 11.67GiB,1MB / 2.41kB
2026-06-10 16:30:20,docker-ssrf_proxy-1,0.02%,13.08MiB / 11.67GiB,1.48MB / 1.89kB
2026-06-10 16:30:52,docker-ragflow-cpu-1,7.57%,5.933GiB / 11.67GiB,3.71GB / 845MB
2026-06-10 16:30:52,docker-redis-1,1.30%,6.621MiB / 11.67GiB,25.1MB / 6.67MB
2026-06-10 16:30:52,docker-mysql-1,0.69%,112MiB / 11.67GiB,403MB / 1.1GB
2026-06-10 16:30:52,docker-minio-1,1.18%,1.249GiB / 11.67GiB,702MB / 1.44GB
2026-06-10 16:30:52,docker-es01-1,0.35%,1.025GiB / 8GiB,108MB / 2.11GB
2026-06-10 16:30:52,docker-nginx-1,0.00%,9.488MiB / 11.67GiB,999kB / 126B
2026-06-10 16:30:52,docker-api-1,12.09%,268MiB / 11.67GiB,2.46kB / 684B
2026-06-10 16:30:52,docker-worker-1,0.00%,0B / 0B,0B / 0B
2026-06-10 16:30:52,docker-worker_beat-1,0.00%,267.5MiB / 11.67GiB,2.33kB / 684B
